OTU ID	ASV1_Mesorhizobium	ASV1032_unknown	ASV104_Mesorhizobium	ASV1049_unknown	ASV106_Mesorhizobium	ASV108_Mesorhizobium	ASV109_Mesorhizobium	ASV11_unknown	ASV110_ANPR	ASV111_Mesorhizobium	ASV112_Mesorhizobium	ASV1168_ANPR	ASV117_ANPR	ASV118_Mesorhizobium	ASV119_Rhizobacter	ASV1191_unknown	ASV12_Mesorhizobium	ASV120_ANPR	ASV121_Mesorhizobium	ASV1223_Mesorhizobium	ASV1224_Duganella	ASV124_Mesorhizobium	ASV125_unknown	ASV1257_unknown	ASV1258_ANPR	ASV126_unknown	ASV133_ANPR	ASV135_unknown	ASV137_ANPR	ASV139_ANPR	ASV1395_unknown	ASV1396_unknown	ASV141_Pseudomonas	ASV142_unknown	ASV1430_unknown	ASV1431_unknown	ASV144_ANPR	ASV1447_Rugamonas	ASV145_unknown	ASV146_unknown	ASV1464_unknown	ASV15_Mesorhizobium	ASV153_ANPR	ASV154_ANPR	ASV156_Duganella	ASV157_unknown	ASV158_Mesorhizobium	ASV160_Mesorhizobium	ASV161_Mesorhizobium	ASV162_ANPR	ASV165_Herbaspirillum	ASV166_Mesorhizobium	ASV17_ANPR	ASV170_Mesorhizobium	ASV171_Pseudomonas	ASV176_unknown	ASV178_unknown	ASV18_ANPR	ASV185_unknown	ASV188_Mesorhizobium	ASV197_Mesorhizobium	ASV2_Mesorhizobium	ASV202_unknown	ASV21_ANPR	ASV215_Mesorhizobium	ASV217_Mesorhizobium	ASV218_Variovorax	ASV22_Mesorhizobium	ASV229_Achromobacter	ASV231_Mesorhizobium	ASV234_Achromobacter	ASV244_ANPR	ASV247_Mesorhizobium	ASV249_Duganella	ASV250_Mesorhizobium	ASV254_ANPR	ASV26_Mesorhizobium	ASV261_ANPR	ASV27_unknown	ASV274_Mesorhizobium	ASV28_Pseudomonas	ASV281_Mesorhizobium	ASV292_Mesorhizobium	ASV3_ANPR	ASV306_Mesorhizobium	ASV307_unknown	ASV31_Mesorhizobium	ASV311_ANPR	ASV315_Duganella	ASV32_ANPR	ASV33_ANPR	ASV336_Mesorhizobium	ASV34_ANPR	ASV343_Mesorhizobium	ASV348_unknown	ASV35_Mesorhizobium	ASV359_Mesorhizobium	ASV36_Mesorhizobium	ASV37_unknown	ASV375_unknown	ASV380_ANPR	ASV382_Mesorhizobium	ASV386_unknown	ASV39_unknown	ASV391_Duganella	ASV392_unknown	ASV396_unknown	ASV4_Mesorhizobium	ASV401_Caulobacter	ASV41_unknown	ASV421_unknown	ASV426_unknown	ASV427_ANPR	ASV43_unknown	ASV451_ANPR	ASV458_unknown	ASV47_Mesorhizobium	ASV48_Pseudomonas	ASV49_ANPR	ASV498_unknown	ASV50_ANPR	ASV51_Mesorhizobium	ASV519_Methylovorus	ASV523_unknown	ASV53_ANPR	ASV55_ANPR	ASV56_ANPR	ASV560_unknown	ASV569_unknown	ASV57_Pseudomonas	ASV58_ANPR	ASV581_unknown	ASV59_ANPR	ASV591_unknown	ASV6_Mesorhizobium	ASV60_Mesorhizobium	ASV61_ANPR	ASV626_Azorhizophilus	ASV63_unknown	ASV632_unknown	ASV637_ANPR	ASV64_Mesorhizobium	ASV646_ANPR	ASV66_Mesorhizobium	ASV667_unknown	ASV67_Mesorhizobium	ASV68_Mesorhizobium	ASV70_Caulobacter	ASV71_unknown	ASV717_Pseudomonas	ASV72_ANPR	ASV733_unknown	ASV74_ANPR	ASV747_unknown	ASV748_Mesorhizobium	ASV75_ANPR	ASV756_Mesorhizobium	ASV76_Mesorhizobium	ASV77_Caulobacter	ASV78_ANPR	ASV8_Mesorhizobium	ASV80_ANPR	ASV81_Mesorhizobium	ASV82_ANPR	ASV836_Rhizobacter	ASV84_Mesorhizobium	ASV852_Mesorhizobium	ASV853_Caulobacter	ASV869_ANPR	ASV87_Mesorhizobium	ASV879_Mesorhizobium	ASV89_ANPR	ASV9_ANPR	ASV920_ANPR	ASV93_ANPR	ASV95_ANPR	ASV954_unknown	ASV97_ANPR	ASV98_unknown
ASV1_Mesorhizobium	1.0000	0.0549	0.0689	0.1419	0.0010	0.0739	0.0969	0.0010	0.0509	0.0100	0.0160	0.8302	0.0709	0.8152	0.5225	0.0989	0.0100	0.0849	0.0729	0.2398	0.0559	0.2627	0.0470	0.0579	0.2527	0.0010	0.0050	0.0500	0.0030	0.0010	0.0809	0.0649	0.0769	0.1099	0.0549	0.0440	0.0430	0.0500	0.0380	0.0420	0.1389	0.0020	0.0010	0.0100	0.1528	0.4745	0.0589	0.0769	0.0180	0.0020	0.1518	0.0549	0.1369	0.0849	0.1189	0.0020	0.0010	0.0010	0.0879	0.0390	0.0200	0.1828	0.5085	0.0020	0.8252	0.0450	0.1349	0.1159	0.0689	0.0689	0.0759	0.0350	0.0759	0.0829	0.0669	0.0589	0.1189	0.0010	0.0110	0.0380	0.0889	0.0679	0.0290	0.0010	0.4825	0.0290	0.0080	0.0849	0.1778	0.1009	0.0040	0.0410	0.0020	0.0380	0.0470	0.0010	0.0460	0.1029	0.0070	0.0240	0.3337	0.0170	0.0290	0.0010	0.0749	0.0240	0.0490	0.0360	0.1189	0.0310	0.0180	0.0250	0.0120	0.0829	0.9251	0.0160	0.0010	0.0340	0.0010	0.0300	0.1179	0.1049	0.1119	0.0959	0.1009	0.1189	0.0639	0.1678	0.2108	0.0549	0.0939	0.0490	0.1039	0.0180	0.0270	0.1668	0.0010	0.0220	0.1019	0.0909	0.4436	0.1469	0.1608	0.1149	0.0340	0.3467	0.0010	0.0519	0.6114	0.0320	0.0010	0.0759	0.0170	0.0290	0.0569	0.0010	0.0679	0.3147	0.4515	0.0010	0.0130	0.0380	0.3107	0.0010	0.1069	0.0999	0.9481	0.0619	0.0500	0.0340	0.0160	0.0010	0.0040	0.0569	0.0699	0.0010	0.0170	0.0519	0.0869
ASV1032_unknown	0.0549	1.0000	0.0519	0.8561	0.0480	0.0479	0.1399	0.0150	0.0359	0.4246	0.5405	0.8551	0.0809	0.0819	0.8452	0.1538	0.0150	0.1379	0.1029	0.4685	0.0539	0.0160	0.0549	0.0569	0.0130	0.0549	0.4456	0.0509	0.9540	0.0849	0.0529	0.0509	0.0819	0.0989	0.0609	0.0499	0.0479	0.0359	0.1938	0.2587	0.1498	0.0010	0.5634	0.1459	0.4925	0.0529	0.1329	0.0719	0.1748	0.3267	0.2158	0.0579	0.3437	0.1049	0.1089	0.0699	0.1598	0.0140	0.1838	0.0459	0.2268	0.0729	0.0240	0.0080	0.1029	0.0319	0.0010	0.1878	0.0519	0.0399	0.0679	0.0439	0.1409	0.1538	0.0429	0.0639	0.1398	0.1728	0.0150	0.3347	0.9211	0.0470	0.0539	0.0430	0.7023	0.0979	0.0070	0.5345	0.1159	0.1369	0.0130	0.0369	0.0240	0.2857	0.0879	0.2288	0.0839	0.2108	0.0060	0.0669	0.9251	0.0040	0.0549	0.0100	0.0539	0.0969	0.1009	0.3457	0.0669	0.0070	0.0589	0.0729	0.1449	0.0559	0.0120	0.0310	0.6583	0.1109	0.0330	0.2118	0.3217	0.2278	0.0579	0.4835	0.1878	0.1548	0.0679	0.0849	0.3966	0.1399	0.0459	0.0509	0.1119	0.2138	0.0509	0.0050	0.0979	0.1359	0.1888	0.1109	0.0349	0.0100	0.2907	0.1109	0.0349	0.0230	0.0030	0.0449	0.0519	0.1758	0.1029	0.0849	0.0170	0.0399	0.0629	0.0470	0.1469	0.0170	0.5894	0.0270	0.0020	0.0100	0.0280	0.0609	0.0509	0.0969	0.7273	0.0909	0.1049	0.3157	0.0340	0.0500	0.0400	0.0759	0.0509	0.0300	0.0010	0.1598	0.0549
ASV104_Mesorhizobium	0.0689	0.0519	1.0000	0.7732	0.0020	0.0005	0.1229	0.0030	0.0005	0.5485	0.3906	0.5614	0.0659	0.0090	0.8801	0.1399	0.0020	0.0659	0.1468	0.6084	0.0304	0.0030	0.0005	0.0334	0.0274	0.0030	0.1489	0.0005	0.4486	0.0040	0.0364	0.0344	0.0424	0.0879	0.0334	0.0354	0.0005	0.0304	0.2058	0.0919	0.0619	0.0240	0.5365	0.1828	0.0939	0.6244	0.1808	0.0404	0.0819	0.0170	0.2038	0.0005	0.0889	0.0889	0.0364	0.0100	0.0100	0.0020	0.0839	0.0005	0.1369	0.4655	0.0070	0.0020	0.2597	0.0005	0.0649	0.2118	0.0334	0.0005	0.0764	0.0005	0.1049	0.0460	0.0005	0.0439	0.0304	0.0290	0.0010	0.1239	0.6084	0.0300	0.0609	0.0030	0.7393	0.1129	0.0010	0.4376	0.0679	0.1409	0.0010	0.0384	0.0010	0.3467	0.0409	0.0300	0.0409	0.0829	0.0010	0.1259	0.4016	0.0779	0.0889	0.0010	0.0294	0.1598	0.1249	0.9361	0.0384	0.0020	0.1169	0.0519	0.1039	0.0005	0.1219	0.0489	0.5654	0.1049	0.0020	0.3037	0.6723	0.1388	0.0519	0.0719	0.1109	0.0809	0.0005	0.0549	0.3946	0.0809	0.0005	0.0544	0.0969	0.1319	0.0120	0.0020	0.0050	0.0839	0.1383	0.0484	0.0394	0.7942	0.0509	0.0859	0.0264	0.2298	0.0010	0.0354	0.1009	0.2038	0.0020	0.1378	0.0010	0.0314	0.0434	0.0010	0.0409	0.0080	0.3826	0.0010	0.0829	0.0020	0.8192	0.0010	0.0354	0.1229	0.7572	0.0369	0.0619	0.1888	0.0409	0.0010	0.0010	0.0529	0.0005	0.0010	0.0339	0.2098	0.0014
ASV1049_unknown	0.1419	0.8561	0.7732	1.0000	0.1508	0.6763	0.2827	0.7522	0.5145	0.1269	0.3107	0.0010	0.4655	0.2847	0.4226	0.4805	0.8012	0.3437	0.4715	0.5275	0.5754	0.7502	0.5794	0.8292	0.6254	0.1159	0.0010	0.9251	0.8212	0.2388	0.4645	0.3906	0.2298	0.2997	0.6863	0.6643	0.7702	0.3177	0.4016	0.3357	0.3267	0.3277	0.4256	0.0010	0.1149	0.3307	0.4486	0.1908	0.9640	0.0010	0.9261	0.9710	0.1109	0.3307	0.1718	0.0100	0.1029	0.7972	0.3626	0.8462	0.6973	0.0879	0.6054	0.6254	0.0030	0.5405	0.5554	0.1738	0.2817	0.7642	0.3207	0.8012	0.3816	0.1459	0.8072	0.3656	0.2148	0.0470	0.7073	0.2787	0.0360	0.2917	0.4755	0.8601	0.0340	0.2138	0.8931	0.4735	0.2268	0.3477	0.6264	0.2897	0.8272	0.0749	0.2468	0.5894	0.6733	0.3497	0.8631	0.5724	0.0020	0.9970	0.7932	0.2088	0.7213	0.2747	0.2747	0.0140	0.1628	0.7892	0.1419	0.6054	0.1279	0.8861	0.3297	0.8102	0.1548	0.4675	0.3656	0.1219	0.2318	0.2927	0.4056	0.1878	0.2547	0.3506	0.9790	0.2338	0.6643	0.4595	1.0000	0.6913	0.2957	0.2587	0.5604	0.4695	0.1089	0.3776	0.2088	0.2827	0.0549	0.8791	0.0729	0.2008	0.8452	0.7582	0.7443	0.4206	0.0260	0.3337	0.0260	0.2318	0.7872	0.7612	0.1648	0.1678	0.2937	0.8931	0.0909	0.0969	0.5694	0.5534	0.8591	0.1249	0.3237	0.3786	0.0030	0.1538	0.7682	0.4156	0.4625	0.0759	0.5854	0.7183	0.4805	0.2108	0.9650	0.2727	0.9271
ASV106_Mesorhizobium	0.0010	0.0480	0.0020	0.1508	1.0000	0.0010	0.0010	0.0010	0.0010	0.0030	0.0230	0.3776	0.0010	0.0010	0.1419	0.0020	0.0010	0.0010	0.0010	0.6014	0.0090	0.0010	0.0050	0.0010	0.0120	0.0010	0.0070	0.0020	0.1079	0.0010	0.0010	0.0360	0.0100	0.0010	0.0010	0.0010	0.0010	0.0080	0.0030	0.0030	0.0010	0.0010	0.0669	0.0030	0.6364	0.0120	0.0010	0.0010	0.0030	0.0010	0.3666	0.0020	0.0010	0.0010	0.1159	0.0010	0.0010	0.0010	0.0010	0.0020	0.0020	0.0999	0.0010	0.0010	0.0090	0.0010	0.2607	0.0010	0.0569	0.0050	0.0949	0.0010	0.0010	0.0809	0.0020	0.0010	0.0010	0.0010	0.0010	0.0010	0.0779	0.0010	0.0010	0.0010	0.3077	0.0020	0.0010	0.7952	0.1339	0.0010	0.0010	0.0020	0.0010	0.0120	0.0010	0.0010	0.0330	0.0010	0.0010	0.0010	0.4855	0.0649	0.0030	0.0010	0.0230	0.0010	0.0010	0.1568	0.0300	0.0010	0.0020	0.0010	0.1329	0.0030	0.3227	0.0010	0.0010	0.0040	0.0010	0.0010	0.0010	0.0010	0.0150	0.0490	0.0020	0.0010	0.0010	0.1349	0.0170	0.0040	0.0020	0.0270	0.0010	0.0050	0.0010	0.0020	0.0010	0.0010	0.0010	0.0569	0.1299	0.0010	0.3776	0.0010	0.0430	0.0020	0.0010	0.0030	0.0200	0.0010	0.0010	0.0020	0.0010	0.0060	0.0010	0.0010	0.0040	0.0010	0.6943	0.0010	0.0010	0.0010	0.0010	0.0010	0.0270	0.0010	0.0989	0.0200	0.0010	0.0040	0.0010	0.0010	0.0010	0.0010	0.0020	0.0010	0.0190	0.0010	0.0030
ASV108_Mesorhizobium	0.0739	0.0479	0.0005	0.6763	0.0010	1.0000	0.0509	0.0020	0.0005	0.4316	0.3676	0.6494	0.0589	0.0020	0.9181	0.1029	0.0020	0.1269	0.0719	0.9011	0.0294	0.0020	0.0005	0.0344	0.0364	0.0030	0.3676	0.0005	0.4436	0.0030	0.0264	0.0404	0.0554	0.1079	0.0334	0.0434	0.0005	0.0474	0.2807	0.1319	0.1169	0.0140	0.9730	0.1628	0.1848	0.8022	0.0699	0.0334	0.0769	0.0290	0.0819	0.0005	0.2278	0.1229	0.0374	0.0200	0.0050	0.0020	0.0439	0.0005	0.2338	0.7133	0.0080	0.0010	0.2168	0.0005	0.0669	0.2118	0.0264	0.0005	0.0794	0.0005	0.0799	0.0889	0.0005	0.0579	0.0474	0.0140	0.0020	0.1069	0.8941	0.0399	0.0489	0.0020	0.5874	0.1638	0.0010	0.3187	0.0609	0.0739	0.0020	0.0314	0.0020	0.2577	0.0559	0.0350	0.0579	0.1438	0.0010	0.0809	0.4206	0.0549	0.0749	0.0010	0.0284	0.1119	0.1219	0.7033	0.0374	0.0010	0.0899	0.0349	0.0869	0.0005	0.1029	0.0389	0.4685	0.1339	0.0020	0.3936	0.3646	0.2058	0.0519	0.0979	0.1738	0.0979	0.0005	0.0679	0.2318	0.0849	0.0005	0.0384	0.1698	0.2008	0.0120	0.0010	0.0070	0.0509	0.0864	0.0534	0.0284	0.6993	0.0669	0.2797	0.0264	0.1349	0.0020	0.0294	0.0789	0.1069	0.0050	0.0789	0.0010	0.0304	0.3061	0.0030	0.1019	0.0070	0.8072	0.0010	0.0340	0.0020	0.8092	0.0020	0.0354	0.0609	0.8891	0.0309	0.0499	0.2687	0.0479	0.0020	0.0010	0.0539	0.0024	0.0020	0.0290	0.1169	0.0005
ASV109_Mesorhizobium	0.0969	0.1399	0.1229	0.2827	0.0010	0.0509	1.0000	0.0010	0.0589	0.0130	0.9960	0.3806	0.0010	0.0010	0.0430	0.0050	0.0010	0.0010	0.0020	0.1558	0.3816	0.0010	0.0529	0.0030	0.0639	0.0010	0.0739	0.0679	0.1618	0.0010	0.0030	0.4086	0.6144	0.0010	0.0010	0.0010	0.0479	0.6403	0.7033	0.5744	0.0060	0.0549	0.2707	0.0599	0.9520	0.0040	0.0010	0.0040	0.2258	0.0050	0.9770	0.0589	0.0010	0.0020	0.7712	0.0020	0.0030	0.0010	0.0010	0.0439	0.0210	0.5924	0.0010	0.0010	0.0979	0.0839	0.6933	0.0020	0.7033	0.0779	0.4875	0.0649	0.0010	0.7193	0.0699	0.0010	0.0030	0.0040	0.0010	0.7932	0.2188	0.0010	0.0080	0.0010	0.2458	0.5804	0.0010	0.9411	0.5335	0.0010	0.0010	0.0419	0.0010	0.4036	0.0010	0.0519	0.1049	0.0010	0.0010	0.4076	0.2577	0.2627	0.8911	0.0010	0.1988	0.7373	0.7782	0.3487	0.7402	0.0010	0.5255	0.3916	0.1968	0.1179	0.4995	0.2428	0.0190	0.5844	0.0010	0.9680	0.0010	0.0020	0.0519	0.2488	0.0010	0.0010	0.0659	0.4466	0.0020	0.4226	0.0559	0.1169	0.0010	0.7942	0.0030	0.0210	0.0020	0.2298	0.0010	0.3217	0.4076	0.0010	0.3576	0.0010	0.3986	0.0010	0.0020	0.0809	0.0420	0.5844	0.0020	0.0030	0.0010	0.2837	0.0020	0.0010	0.0629	0.0010	0.1129	0.0010	0.0120	0.0010	0.0010	0.0010	0.1628	0.0010	0.7413	0.5514	0.0010	0.0390	0.1588	0.0010	0.0010	0.0010	0.0539	0.0010	0.1419	0.0020	0.0959
ASV11_unknown	0.0010	0.0150	0.0030	0.7522	0.0010	0.0020	0.0010	1.0000	0.0010	0.0579	0.1658	0.8042	0.0020	0.0010	0.1988	0.0010	0.0010	0.0010	0.0010	0.4336	0.0100	0.0010	0.0020	0.0010	0.0030	0.0010	0.1079	0.0010	0.1069	0.0010	0.0010	0.0060	0.1968	0.0010	0.0010	0.0010	0.0010	0.0350	0.0370	0.0310	0.0010	0.0010	0.2278	0.0480	0.7263	0.0050	0.0020	0.0010	0.0040	0.0030	0.4376	0.0010	0.0010	0.0010	0.1109	0.0010	0.0010	0.0010	0.0010	0.0020	0.0030	0.5225	0.0010	0.0010	0.0929	0.0010	0.1339	0.0010	0.1608	0.0020	0.3027	0.0010	0.0010	0.2787	0.0010	0.0010	0.0010	0.0010	0.0010	0.0859	0.5405	0.0010	0.0010	0.0010	0.5704	0.0180	0.0010	0.7902	0.2338	0.0010	0.0010	0.0010	0.0010	0.0519	0.0010	0.0010	0.0120	0.0010	0.0010	0.0170	0.8202	0.0300	0.0160	0.0010	0.0629	0.0320	0.0280	0.9500	0.0819	0.0010	0.0060	0.0010	0.1868	0.0010	0.2517	0.0010	0.0110	0.0240	0.0010	0.0410	0.0010	0.0010	0.0659	0.1838	0.0010	0.0010	0.0010	0.2657	0.0120	0.0150	0.0030	0.0799	0.0010	0.0609	0.0010	0.0010	0.0010	0.0110	0.0010	0.0979	0.2388	0.0010	0.2488	0.0010	0.0360	0.0010	0.0010	0.0060	0.0120	0.0410	0.0010	0.0010	0.0010	0.0150	0.0010	0.0010	0.0090	0.0010	0.7752	0.0010	0.0010	0.0010	0.0010	0.0010	0.0539	0.0010	0.6414	0.0609	0.0010	0.0020	0.0030	0.0010	0.0010	0.0010	0.0010	0.0010	0.0020	0.0010	0.0010
ASV110_ANPR	0.0509	0.0359	0.0005	0.5145	0.0010	0.0005	0.0589	0.0010	1.0000	0.3796	0.6533	0.6174	0.0689	0.0010	0.9880	0.0949	0.0010	0.0439	0.0489	0.9031	0.0394	0.0030	0.0005	0.0234	0.0294	0.0040	0.3776	0.0005	0.2917	0.0030	0.0314	0.0394	0.0344	0.1169	0.0304	0.0344	0.0005	0.0354	0.3337	0.1069	0.0959	0.0090	0.6294	0.1778	0.4216	0.7952	0.0479	0.0274	0.0679	0.0300	0.0509	0.0005	0.1049	0.0959	0.0354	0.0110	0.0070	0.0010	0.0479	0.0005	0.1429	0.6683	0.0030	0.0010	0.2058	0.0005	0.0519	0.1219	0.0254	0.0005	0.0814	0.0005	0.0619	0.0709	0.0005	0.0459	0.0634	0.0070	0.0010	0.4146	0.8521	0.0220	0.0559	0.0020	0.5624	0.1309	0.0010	0.1698	0.0389	0.0679	0.0010	0.0244	0.0010	0.1489	0.0459	0.0330	0.0419	0.0869	0.0010	0.0809	0.4845	0.0589	0.1508	0.0010	0.0334	0.0849	0.1089	0.4256	0.0334	0.0010	0.1149	0.0369	0.0959	0.0005	0.0899	0.0319	0.2547	0.1199	0.0020	0.1518	0.2088	0.0899	0.0509	0.1189	0.0969	0.0889	0.0005	0.0579	0.7782	0.1039	0.0014	0.0424	0.0779	0.2108	0.0060	0.0010	0.0060	0.0779	0.0904	0.0234	0.0464	0.4875	0.0499	0.0529	0.0344	0.0500	0.0010	0.0274	0.0779	0.1179	0.0030	0.1119	0.0010	0.0304	0.0494	0.0020	0.1249	0.0020	0.4445	0.0010	0.0140	0.0010	0.5504	0.0010	0.0364	0.0459	0.4615	0.0469	0.0589	0.2687	0.0429	0.0040	0.0010	0.0429	0.0014	0.0010	0.0349	0.0929	0.0005
ASV111_Mesorhizobium	0.0100	0.4246	0.5485	0.1269	0.0030	0.4316	0.0130	0.0579	0.3796	1.0000	0.0030	0.6843	0.0170	0.3576	0.6024	0.1449	0.0559	0.0120	0.0090	0.8821	0.2188	0.1568	0.5694	0.0350	0.4346	0.0040	0.0220	0.3906	0.0400	0.0010	0.0300	0.5574	0.0240	0.0130	0.0200	0.0130	0.2637	0.3756	0.0350	0.0220	0.1469	0.0659	0.0160	0.0120	0.6663	0.1818	0.0080	0.0250	0.0050	0.0030	0.8911	0.3766	0.0130	0.0190	0.8082	0.0020	0.0010	0.0509	0.0170	0.4086	0.0010	0.7063	0.1548	0.0280	0.3117	0.4515	0.9421	0.0160	0.8002	0.9500	0.8092	0.4875	0.0100	0.7722	0.6054	0.0070	0.0220	0.0010	0.0220	0.0579	0.0589	0.0100	0.0060	0.0529	0.7982	0.0140	0.0260	0.3796	0.7113	0.0260	0.0340	0.0100	0.0430	0.2098	0.0190	0.0020	0.0360	0.0070	0.0470	0.0300	0.2218	0.6304	0.0190	0.0010	0.8901	0.0440	0.0130	0.0849	0.8731	0.0899	0.0150	0.1618	0.8971	0.7063	0.7752	0.0849	0.0010	0.1109	0.0070	0.0380	0.0100	0.0110	0.5275	0.8751	0.0210	0.0200	0.6803	0.9201	0.4825	0.1698	0.4965	0.5195	0.0140	0.0430	0.1429	0.8412	0.0030	0.0060	0.0420	0.5495	0.9720	0.0579	0.4535	0.0130	0.8112	0.0969	0.0090	0.5015	0.5445	0.0120	0.0010	0.0839	0.0919	0.7932	0.0370	0.0040	0.2747	0.1808	0.3526	0.0010	0.0619	0.0729	0.0450	0.0030	0.6663	0.0110	0.5524	0.7512	0.0110	0.0090	0.1698	0.0030	0.0679	0.0120	0.3946	0.0020	0.4456	0.0120	0.9171
ASV112_Mesorhizobium	0.0160	0.5405	0.3906	0.3107	0.0230	0.3676	0.9960	0.1658	0.6533	0.0030	1.0000	0.2677	0.9830	0.6873	0.3437	0.9271	0.1818	0.9221	0.8811	0.8981	0.4446	0.5285	0.4645	0.8352	0.2218	0.0679	0.0879	0.1808	0.2328	0.0170	0.2897	0.5504	0.0180	0.9830	0.3666	0.1439	0.5325	0.4406	0.0100	0.0090	0.7023	0.0689	0.0709	0.2158	0.6184	0.5834	0.8482	0.6194	0.0010	0.0340	0.0509	0.2747	0.8921	0.8941	0.8901	0.0110	0.0010	0.1668	0.9680	0.1878	0.0010	0.3117	0.8721	0.1728	0.6863	0.3876	0.9241	0.9830	0.5405	0.4026	0.7822	0.2408	0.9211	0.7802	0.5455	0.9610	0.8052	0.0110	0.2068	0.0090	0.0380	0.6364	0.0390	0.1728	0.8242	0.0040	0.2198	0.5654	0.8232	0.9600	0.1708	0.0110	0.1409	0.0090	0.9740	0.0040	0.0200	0.9441	0.2927	0.0110	0.4376	0.0549	0.0030	0.0290	0.4376	0.0090	0.0040	0.0110	0.4925	0.3247	0.0030	0.0350	0.9271	0.8202	0.9660	0.0290	0.0100	0.1289	0.1958	0.0040	0.6813	0.8192	0.8272	0.7852	0.9760	0.8631	0.4885	0.9600	0.4356	0.1838	0.5534	0.0260	0.7063	0.0150	0.4086	0.5365	0.0120	0.0080	0.8082	0.3956	0.5574	0.3057	0.8991	0.8541	0.0490	0.4016	0.0480	0.1688	0.9181	0.0050	0.0090	0.5295	0.2657	0.0080	0.8941	0.0300	0.6693	0.4496	0.6903	0.0190	0.0639	0.3836	0.2917	0.0579	0.9650	0.9530	0.6853	0.5744	0.8352	0.0050	0.0020	0.0160	0.2248	0.7443	0.4476	0.0619	0.2388	0.8551	0.4995
ASV1168_ANPR	0.8302	0.8551	0.5614	0.0010	0.3776	0.6494	0.3806	0.8042	0.6174	0.6843	0.2677	1.0000	0.4296	0.6074	0.3766	0.4156	0.7542	0.4715	0.3526	0.0410	0.3057	0.5804	0.3057	0.8032	0.2857	0.3706	0.0030	0.4575	0.7133	0.9680	0.2867	0.3546	0.4975	0.4905	0.2577	0.6693	0.9241	0.3506	0.3037	0.4386	0.0989	0.3207	0.8232	0.0010	0.1399	0.0989	0.2208	0.1758	0.7842	0.0280	0.9550	0.8182	0.2478	0.3107	0.1209	0.0420	0.2517	0.7373	0.1828	0.9670	0.6114	0.0410	0.1029	0.6084	0.0110	0.3926	0.7463	0.2388	0.5235	0.4975	0.4166	0.7213	0.4396	0.1139	0.3137	0.3117	0.1568	0.2797	0.6803	0.6184	0.0470	0.8941	0.5894	0.9940	0.0050	0.9880	0.9281	0.4416	0.0949	0.2028	0.7502	0.6424	0.6484	0.1099	0.2418	0.6264	0.4665	0.3796	0.8531	0.3147	0.0010	0.7762	0.3986	0.5924	0.4286	0.2338	0.3736	0.0200	0.0989	0.5375	0.4066	0.9760	0.1099	0.6873	0.5355	0.4705	0.7852	0.4885	0.4266	0.0869	0.4446	0.3217	0.1359	0.0779	0.3487	0.3287	0.4825	0.1099	0.4376	0.3457	0.9381	0.6094	0.2697	0.0969	0.6573	0.3177	0.1259	0.6803	0.2168	0.2547	0.0430	0.6094	0.0280	0.2258	0.2667	0.5195	0.9001	0.2258	0.0030	0.7163	0.2488	0.0939	0.3267	0.3916	0.2438	0.5335	0.1219	0.2797	0.0709	0.2957	0.5455	0.2927	0.5514	0.4975	0.1329	0.2857	0.0160	0.0739	0.8472	0.3866	0.7882	0.1938	0.7173	0.3756	0.3986	0.4675	0.8841	0.3007	0.5964
ASV117_ANPR	0.0709	0.0809	0.0659	0.4655	0.0010	0.0589	0.0010	0.0020	0.0689	0.0170	0.9830	0.4296	1.0000	0.0010	0.0410	0.0040	0.0010	0.0010	0.0010	0.1199	0.0849	0.0010	0.0589	0.0050	0.0619	0.0010	0.1109	0.0439	0.0529	0.0010	0.0040	0.1638	0.3856	0.0010	0.0010	0.0010	0.0629	0.1728	0.5724	0.6733	0.0040	0.0190	0.1538	0.0609	0.7962	0.0070	0.0010	0.0010	0.2537	0.0060	0.9021	0.0419	0.0010	0.0020	0.6094	0.0030	0.0010	0.0010	0.0010	0.0619	0.0200	0.7892	0.0010	0.0010	0.0919	0.0609	0.3676	0.0010	0.1558	0.1089	0.3366	0.0649	0.0010	0.6104	0.1109	0.0010	0.0030	0.0030	0.0010	0.5265	0.3487	0.0010	0.0060	0.0010	0.1918	0.5345	0.0020	0.6553	0.7992	0.0010	0.0010	0.0439	0.0010	0.7033	0.0010	0.0360	0.1349	0.0010	0.0010	0.5245	0.4805	0.0949	0.3736	0.0010	0.8961	0.4296	0.5205	0.2687	0.9650	0.0010	0.2108	0.2288	0.4096	0.0649	0.2747	0.0509	0.0070	0.5714	0.0010	0.8981	0.0010	0.0010	0.0519	0.2188	0.0010	0.0010	0.0649	0.9810	0.0040	0.4635	0.0649	0.8411	0.0010	0.8052	0.0020	0.0150	0.0010	0.3576	0.0020	0.8152	0.0829	0.0010	0.2228	0.0010	0.4375	0.0010	0.0010	0.0849	0.0549	0.3377	0.0020	0.0030	0.0010	0.1688	0.0020	0.0010	0.0390	0.0010	0.1409	0.0010	0.0070	0.0010	0.0020	0.0010	0.2397	0.0010	0.4476	0.6474	0.0010	0.0220	0.0969	0.0010	0.0010	0.0010	0.0559	0.0010	0.2018	0.0010	0.1418
